site,depth_num,treatment,depth,KCL_ug_NO3_N_g_soil,KCL_ug_NH4_N_g_soil,bulk_density,soil_pct_N,soil_pct_C
APP1,1,soy,0-1,0,0.562550604,1.297530069,0.051811515,0.406039701
APP1,2,soy,1-2,1.819409598,0.50407439,1.320107388,0.016540306,0.23517069
APP1,3,soy,2-3,5.529916014,0.435551601,1.31020189,0.013828473,0.199199061
APP1,4,soy,3-4,8.581825032,0.303983196,1.349879725,0.01315809,0.157203683
APP1,5,soy,4-5,34.79981721,0.308311601,1.429733677,0.014332227,0.138340198
APP1,6,soy,5-6,35.9794302,0.286759787,1.485021478,0.014451374,0.111233813
APP1,7,soy,6-7,32.44055469,0.290351408,1.483943299,0.013959305,0.09981316
APP1,8,soy,7-8,28.31185572,0.305916926,1.474892612,0.016408699,0.113081243
APPM,1,forest,0-1,0,0.344231421,1.297530069,0.058337959,0.970448954
APPM,2,forest,1-2,1.572837156,0.248445204,1.320107388,0.013291966,0.288333409
APPM,3,forest,2-3,0,0.09823565,1.31020189,0.014524592,0.289075642
APPM,4,forest,3-4,0,0.064655529,1.349879725,0.012317519,0.243817806
APPM,5,forest,4-5,0.446991966,0.192920876,1.429733677,0.015140837,0.274530248
APPM,6,forest,5-6,0,0.13315079,1.485021478,0.008706381,0.16675061
Cascavel,1,soy,0-1,0,0.200022326,1.108235968,0.029,0.555
Cascavel,2,soy,1-2,1.29080952,0.156065448,1.027766323,0.018,0.319
Cascavel,3,soy,2-3,1.075675935,0.01403758,1.005601375,0.012,0.229
Cascavel,4,soy,3-4,6.27733608,0,0.989278351,0.009,0.174
Cascavel,5,soy,4-5,9.1432443,0.032754325,1.102439863,0.009,0.154
Cascavel,6,soy,5-6,4.93658172,0.04269754,1.268006873,0.006,0.146
Cascavel,7,soy,6-7,1.689444792,0,1.30137457,0.01,0.155
Cascavel,8,soy,7-8,1.176914844,0.083812764,1.281408935,0.01,0.166
Nascente,1,soy,0-1,3.463403292,0.177218014,1.108235968,0.06,1.076
Nascente,2,soy,1-2,9.11793498,0.096962789,1.027766323,0.036,0.682
Nascente,3,soy,2-3,3.94904115,0.12747405,1.005601375,0.023,0.463
Nascente,4,soy,3-4,5.27103675,0.51454065,0.989278351,0.023,0.402
Nascente,5,soy,4-5,0,0.003179099,1.102439863,0.017,0.305
Nascente,6,soy,5-6,1.19860884,0,1.268006873,0.012,0.258
Nascente,7,soy,6-7,1.304370288,0,1.30137457,0.014,0.247
Nascente,8,soy,7-8,2.467725156,0.016101852,1.281408935,0.014,0.248
C-N,1,forest,0-1,2.006947221,0.295278725,1.108235968,0.041,0.714
C-N,2,forest,1-2,2.20513539,0,1.027766323,0.021,0.382
C-N,3,forest,2-3,1.704810504,0,1.005601375,0.018,0.307
C-N,4,forest,3-4,2.48309202,0,0.989278351,0.013,0.227
C-N,5,forest,4-5,1.482442248,0,1.102439863,0.01,0.195
C-N,6,forest,5-6,0,0.00514019,1.268006873,0.013,0.202
C-N,7,forest,6-7,0.32654484,0.144470335,1.30137457,0.011,0.184
C-N,8,forest,7-8,1.0060722,0.518483784,1.281408935,0.013,0.187
T179,1,soy,0-1,1.71856314,0.421329248,1.108235968,0.041925993,0.684977111
T179,2,soy,1-2,0.363657372,0.244718422,1.027766323,0.018634304,0.392461976
T179,3,soy,2-3,2.995078032,0.175963914,1.005601375,0.013383149,0.264894061
T179,4,soy,3-4,12.88563714,0.965208474,0.989278351,0.012657419,0.249239733
T179,5,soy,4-5,3.983527188,0.216094878,1.102439863,0.010036765,0.183001852
T179,6,soy,5-6,4.31399736,0.24755768,1.268006873,0.012994185,0.176115659
T179,7,soy,6-7,1.567322784,0.412848576,1.30137457,0.012582277,0.209682566
T179,8,soy,7-8,1.896806241,0.285209424,1.281408935,0.01657159,0.242782615
T110,1,maize,0-1,2.168719035,0.396198923,1.223069874,0.051072757,0.851189112
T110,2,maize,1-2,4.81099002,0.315250558,1.172027491,0.019518424,0.369594915
T110,3,maize,2-3,20.17072818,0,1.204467354,0.017023323,0.282183217
T110,4,maize,3-4,31.53506985,0.234951435,1.22242268,0.014274712,0.201135529
T110,5,maize,4-5,11.69496546,0,1.197955326,0.010919438,0.159685578
T110,6,maize,5-6,3.684259809,0.59231007,1.174003436,0.010889022,0.15784754
T110,7,maize,6-7,3.43783872,0,1.182714777,0.01598991,0.168950623
T110,8,maize,7-8,3.712719024,0.263140248,1.247164948,0.013312505,0.173755127
APP5,1,maize,0-1,0.384121866,0,1.223069874,0.042815055,0.992810003
APP5,2,maize,1-2,1.896676236,0.977543883,1.172027491,0.019493009,0.364250689
APP5,3,maize,2-3,8.90425143,0,1.204467354,0.016066243,0.298185327
APP5,4,maize,3-4,8.91735399,0,1.22242268,0.013618742,0.231463174
APP5,5,maize,4-5,3.80429208,0,1.197955326,0.011970256,0.231146445
APP5,6,maize,5-6,1.76632176,0.29460152,1.174003436,0.012975482,0.189125746
APP5,7,maize,6-7,1.20029424,0,1.182714777,0.014256941,0.208101898
APP5,8,maize,7-8,1.1226444,0.02858864,1.247164948,0.017941527,0.267179374
APP4,1,maize,0-1,1.720902993,0,1.108235968,0.031,0.872
APP4,2,maize,1-2,7.87469472,0,1.027766323,0.012,0.444
APP4,3,maize,2-3,12.18717702,0,1.005601375,0.011,0.365
